name, addr, lon, lat
약술,다산로21길 5 1층, 127.011941, 37.5578139
하피덕 시청점,서소문로 136, 127.0421756, 37.47903209999999
로만티카,상봉로25길 39 1층, 127.0908575, 37.5946897
오순도순,망우로30길 8 1층, 127.0742542, 37.5926999
량목,일산동구 대산로11번길 85 1층 우측, 126.7718033, 37.6664188
효교,일산동구 일산로380번길 41, 126.7830564, 37.67047029999999
효교향동,덕양구 향기4로 21 1층, 126.8977345, 37.599626
오백년짬뽕,처인구 한터로 158, 127.2279649, 37.248532
짬뽕지존 수지동천점,수지구 고기로 59, 127.0954926, 37.3432227
킹박스,강남대로140길 9 1층, 127.0212099, 37.5139927
103호심야식당,양평로 64-1 1층, 126.8996239, 37.5352615
팔레드신,퇴계로 67 레스케이프 호텔 6층, 126.9795036, 37.5598362
레이지버거클럽 원흥점,덕양구 서오릉로 740 1층, 126.863487, 37.6413698
슈팅맨,일산동구 동국로 109-10, 126.8032409, 37.68206199999999
찰리스버거 분당,분당구 느티로 69 숲안조합상가 102호, 127.1122212, 37.3686529
훌리스,분당구 정자일로 100 미켈란쉐르빌 상가동 109호, 127.1069862, 37.3588545
"오피큐알 (OH,PQR",팔달구 화서문로45번길 31, 127.0123331, 37.2866513
PIZZERIA DA MOON,기흥구 죽전로15번길 11-8, 127.1096725, 37.3216667
버거비치,단원구 대부황금로 1501 1~2층, 126.5753937, 37.2879745
피자플리즈,단원구 사근여길 6-12, 126.5714848, 37.2847124
찰리스버거 구성,기흥구 용인향교로20번길 7, 127.1201355, 37.2964874
핫터,"시민로122번길 26 1층,2층", 127.0484114, 37.7372266
레드파이프,지목로 17-7, 126.6928041, 37.7258414
틴틴스버거,와석순환로252번길 7-35 1층, 126.738994, 37.720119
다운타우너 청담,도산대로53길 14 1층, 127.0384823, 37.5240197
더블트러블 유니온,압구정로4길 27-2 1층, 127.0208825, 37.5216286
모터시티바이매니멀강남점,강남대로98길 12-3 2층, 127.0278863, 37.5005235
올데이피자 서비스,도산대로23길 17, 127.0259309, 37.5201043
크라이치즈버거 삼성역점,테헤란로 616 미래에셋벤처타워 B1층, 127.0653743, 37.50904009999999
파이어벨 대치본점,선릉로72길 13, 127.0522425, 37.500313
Ginos NY Pizza 압구정점,선릉로155길 15 1층, 127.03835 3,7.52541900000001
피맥하우스,남부순환로 1864 1층, 126.9567467, 37.4794035
버터버거,천면로 13, 127.1072469, 37.5467675
바이슨버거,상도로 47 1층, 126.9258221, 37.49990260000001
그릴링(Grilling,동교로38길 11, 126.9248685, 37.5620223
슬라이스룸,와우산로3길 16, 126.9218439, 37.5460254
도프피자 베이커스,동산로2길 41 1층, 127.0430871, 37.4682845
릿잇타미,방배천로2안길 31 1층, 126.983761, 37.47839099999999
펍피맥 교대점,반포대로30길 90 우진빌딩, 127.0133534, 37.49261980000001
피제리아 호키포키,반포대로9길 28 1층, 127.0101076, 37.4830786
버거보이 성수낙낙점,아차산로17길 48 1층 R113호, 127.0658264, 37.5466652
엘더버거,서울숲2길 40-7 1층, 127.0430116, 37.5462733
위드번,성수이로12길 17-1 1층, 127.0572562, 37.5396355
피더블유에이,연무장15길 11 B125, 127.0144948, 37.54110469999999
피자시즌,성수이로14길 14 성수연방 1층, 127.0569489, 37.5414775
다운타우너 잠실,백제고분로45길 3 1층, 127.1106446, 37.508994
모터시티바이매니멀잠실점,백제고분로45길 17-3 2층, 127.1094554, 37.509501
보니스피자펍 석촌호수점,송파대로49길 52, 127.0990001, 37.5060465
아메리칸피자 잠실점,백제고분로7길 42-13 1층, 127.0839048, 37.5101656
차고버거,오금로11길 61-11 엘엠오피스텔 1층, 127.1139487, 37.5154848
퀴너스화덕피자앤캠핑,"풍성로26길 22 2층, 3층", 127.118662, 37.53184
크레이지 토마토,석촌호수로 216 1층, 127.1014161, 37.5066247
GOOD VIBE,올림픽로32길 23 2층, 127.0819495, 37.5104108
펍피맥 오목교본점,신목로2길 68 오목빌딩, 126.8773191, 37.5239137
노스트레스버거,신흥로 62, 126.9873925, 37.54378760000001
다운타우너 한남,대사관로5길 12 1층, 127.0008591, 37.5348225
더백테라스,한강대로40길 26 3층, 126.9706148, 37.5299962
도노,이태원로54길 63, 127.0012124, 37.53567690000001
